Opcode	Instruction	64-bit Mode	Compat/32-bit-Legacy Mode	Description
0F 61 /r	PUNPCKLWD mm, mm/m32	V	V	Interleave low-order words from mm and mm/m32 into mm.
66 0F 61 /r	PUNPCKLWD xmm1, xmm2/m128	V	V	Interleave low-order words from xmm1 and xmm2/m128 into xmm1.
0F 62 /r	PUNPCKLDQ mm, mm/m32	V	V	Interleave low-order doublewords from mm and mm/m32 into mm.
66 0F 62 /r	PUNPCKLDQ xmm1, xmm2/m128	V	V	Interleave low-order doublewords from xmm1 and xmm2/m128 into xmm1.
66 0F 6C /r	PUNPCKLQDQ xmm1, xmm2/m128	V	V	Interleave low-order quadword from xmm1 and xmm2/m128 into xmm1 register.
VEX.NDS.128.66.0F.WIG 60 /r	VPUNPCKLBW xmm1, xmm2, xmm3/m128	V	V	Interleave low-order bytes from xmm2 and xmm3/m128 into xmm1.
VEX.NDS.128.66.0F.WIG 61 /r	VPUNPCKLWD xmm1, xmm2, xmm3/m128	V	V	Interleave low-order words from xmm2 and xmm3/m128 into xmm1.
VEX.NDS.128.66.0F.WIG 62 /r	VPUNPCKLDQ xmm1, xmm2, xmm3/m128	V	V	Interleave low-order doublewords from xmm2 and xmm3/m128 into xmm1.
VEX.NDS.128.66.0F.WIG 6C /r	VPUNPCKLQDQ xmm1, xmm2, xmm3/m128	V	V	Interleave low-order quadword from xmm2 and xmm3/m128 into xmm1 register.
				
FF /6	PUSH r/m16 	V	V	Push r/m16.
FF /6	PUSH r/m32	NE	V	Push r/m32.
FF /6	PUSH r/m64	V	NE	Push r/m64.
50 +rw	PUSH r16	V	V	Push r16.
50 +rd	PUSH r32	NE	V	Push r32.
50 +rd	PUSH r64	V	NE	Push r64.
6A	PUSH imm8	V	V	Push imm8.
68	PUSH imm16	V	V	Push imm16.
68	PUSH imm32	V	V	Push imm32.
0E	PUSH CS	I	V	Push CS.
16	PUSH SS	I	V	Push SS.
1E	PUSH DS	I	V	Push DS.
06	PUSH ES	I	V	Push ES.
0F A0	PUSH FS	V	V	Push FS.
0F A8	PUSH GS	V	V	Push GS.
				
60	PUSHA	I	V	Push AX, CX, DX, BX, original SP, BP, SI, and DI.
60	PUSHAD	I	V	Push EAX, ECX, EDX, EBX, original ESP, EBP, ESI, and EDI.
				
PREF.66+ 9C	PUSHF	V	V	Push lower 16 bits of EFLAGS.
9C	PUSHFD	NE	V	Push EFLAGS.
9C	PUSHFQ	V	NE	Push RFLAGS.
				
0F EF /r	PXOR mm, mm/m64	V	V	Bitwise XOR of mm/m64 and mm.
66 0F EF /r	PXOR xmm1, xmm2/m128	V	V	Bitwise XOR of xmm2/m128 and xmm1. 
VEX.NDS.128.66.0F.WIG EF /r	VPXOR xmm1, xmm2, xmm3/m128	V	V	Bitwise XOR of xmm3/m128 and xmm2.
				
D0 /2	RCL r/m8, 1	V	V	Rotate 9 bits (CF, r/m8) left once.
REX+ D0 /2	RCL r/m8, 1	V	NE	Rotate 9 bits (CF, r/m8) left once.
D2 /2	RCL r/m8, CL	V	V	Rotate 9 bits (CF, r/m8) left CL times.
REX+ D2 /2	RCL r/m8, CL	V	NE	Rotate 9 bits (CF, r/m8) left CL times.
C0 /2 ib	RCL r/m8, imm8	V	V	Rotate 9 bits (CF, r/m8) left imm8 times.
REX+ C0 /2 ib	RCL r/m8, imm8	V	NE	Rotate 9 bits (CF, r/m8) left imm8 times.
D1 /2	RCL r/m16, 1	V	V	Rotate 17 bits (CF, r/m16) left once.
D3 /2	RCL r/m16, CL	V	V	Rotate 17 bits (CF, r/m16) left CL times.
C1 /2 ib	RCL r/m16, imm8	V	V	Rotate 17 bits (CF, r/m16) left imm8 times.
D1 /2	RCL r/m32, 1	V	V	Rotate 33 bits (CF, r/m32) left once.
REX.W+ D1 /2	RCL r/m64, 1	V	NE	Rotate 65 bits (CF, r/m64) left once. Uses a 6 bit count.
D3 /2	RCL r/m32, CL	V	V	Rotate 33 bits (CF, r/m32) left CL times.
REX.W+ D3 /2	RCL r/m64, CL	V	NE	Rotate 65 bits (CF, r/m64) left CL times. Uses a 6 bit count.
C1 /2 ib	RCL r/m32, imm8	V	V	Rotate 33 bits (CF, r/m32) left imm8 times.
REX.W+ C1 /2 ib	RCL r/m64, imm8	V	NE	Rotate 65 bits (CF, r/m64) left imm8 times. Uses a 6 bit count.
D0 /3	RCR r/m8, 1	V	V	Rotate 9 bits (CF, r/m8) right once.
REX+ D0 /3	RCR r/m8, 1	V	NE	Rotate 9 bits (CF, r/m8) right once.
D2 /3	RCR r/m8, CL	V	V	Rotate 9 bits (CF, r/m8) right CL times.
REX+ D2 /3	RCR r/m8, CL	V	NE	Rotate 9 bits (CF, r/m8) right CL times.
C0 /3 ib	RCR r/m8, imm8	V	V	Rotate 9 bits (CF, r/m8) right imm8 times.
REX+ C0 /3 ib	RCR r/m8, imm8	V	NE	Rotate 9 bits (CF, r/m8) right imm8 times.
D1 /3	RCR r/m16, 1	V	V	Rotate 17 bits (CF, r/m16) right once.
D3 /3	RCR r/m16, CL	V	V	Rotate 17 bits (CF, r/m16) right CL times.
C1 /3 ib	RCR r/m16, imm8	V	V	Rotate 17 bits (CF, r/m16) right imm8 times.
D1 /3	RCR r/m32, 1	V	V	Rotate 33 bits (CF, r/m32) right once. Uses a 6 bit count.
REX.W+ D1 /3	RCR r/m64, 1	V	NE	Rotate 65 bits (CF, r/m64) right once. Uses a 6 bit count.
D3 /3	RCR r/m32, CL	V	V	Rotate 33 bits (CF, r/m32) right CL times.
REX.W+ D3 /3	RCR r/m64, CL	V	NE	Rotate 65 bits (CF, r/m64) right CL times. Uses a 6 bit count.
C1 /3 ib	RCR r/m32, imm8	V	V	Rotate 33 bits (CF, r/m32) right imm8 times.
REX.W+ C1 /3 ib	RCR r/m64, imm8	V	NE	Rotate 65 bits (CF, r/m64) right imm8 times. Uses a 6 bit count.
D0 /0	ROL r/m8, 1	V	V	Rotate 8 bits r/m8 left once.
REX+ D0 /0	ROL r/m8, 1	V	NE	Rotate 8 bits r/m8 left once.
D2 /0	ROL r/m8, CL	V	V	Rotate 8 bits r/m8 left CL times.
REX+ D2 /0	ROL r/m8, CL	V	NE	Rotate 8 bits r/m8 left CL times.
C0 /0 ib	ROL r/m8, imm8	V	V	Rotate 8 bits r/m8 left imm8 times.
REX+ C0 /0 ib	ROL r/m8, imm8	V	NE	Rotate 8 bits r/m8 left imm8 times.
D1 /0	ROL r/m16, 1	V	V	Rotate 16 bits r/m16 left once.
D3 /0	ROL r/m16, CL	V	V	Rotate 16 bits r/m16 left CL times.
C1 /0 ib	ROL r/m16, imm8	V	V	Rotate 16 bits r/m16 left imm8 times.
D1 /0	ROL r/m32, 1	V	V	Rotate 32 bits r/m32 left once.
REX.W+ D1 /0	ROL r/m64, 1	V	NE	Rotate 64 bits r/m64 left once. Uses a 6 bit count.
D3 /0	ROL r/m32, CL	V	V	Rotate 32 bits r/m32 left CL times.
REX.W+ D3 /0	ROL r/m64, CL	V	NE	Rotate 64 bits r/m64 left CL times. Uses a 6 bit count.
C1 /0 ib	ROL r/m32, imm8	V	V	Rotate 32 bits r/m32 left imm8 times.
C1 /0 ib	ROL r/m64, imm8	V	NE	Rotate 64 bits r/m64 left imm8 times. Uses a 6 bit count.
D0 /1	ROR r/m8, 1	V	V	Rotate 8 bits r/m8 right once.
REX+ D0 /1	ROR r/m8, 1	V	NE	Rotate 8 bits r/m8 right once.
D2 /1	ROR r/m8, CL	V	V	Rotate 8 bits r/m8 right CL times.
REX+ D2 /1	ROR r/m8, CL	V	NE	Rotate 8 bits r/m8 right CL times.
C0 /1 ib	ROR r/m8, imm8	V	V	Rotate 8 bits r/m16 right imm8 times.
REX+ C0 /1 ib	ROR r/m8, imm8	V	NE	Rotate 8 bits r/m16 right imm8 times.
D1 /1	ROR r/m16, 1	V	V	Rotate 16 bits r/m16 right once.
D3 /1	ROR r/m16, CL	V	V	Rotate 16 bits r/m16 right CL times.
C1 /1 ib	ROR r/m16, imm8	V	V	Rotate 16 bits r/m16 right imm8 times.
D1 /1	ROR r/m32, 1	V	V	Rotate 32 bits r/m32 right once.
REX.W+ D1 /1	ROR r/m64, 1	V	NE	Rotate 64 bits r/m64 right once. Uses a 6 bit count.
D3 /1	ROR r/m32, CL	V	V	Rotate 32 bits r/m32 right CL times.
REX.W+ D3 /1	ROR r/m64, CL	V	NE	Rotate 64 bits r/m64 right CL times. Uses a 6 bit count.
C1 /1 ib	ROR r/m32, imm8	V	V	Rotate 32 bits r/m32 right imm8 times.
REX.W+ C1 /1 ib	ROR r/m64, imm8	V	NE	Rotate 64 bits r/m64 right imm8 times. Uses a 6 bit count.
				
0F 53 /r	RCPPS xmm1, xmm2/m128	V	V	Computes the approximate reciprocals of the packed single-precision floating-point values in xmm2/m128 and stores the results in xmm1.
VEX.128.0F.WIG 53 /r	VRCPPS xmm1, xmm2/m128	V	V	Computes the approximate reciprocals of packed single-precision values in xmm2/mem and stores the results in xmm1.
VEX.256.0F.WIG 53 /r	VRCPPS ymm1, ymm2/m256	V	V	Computes the approximate reciprocals of packed single-precision values in ymm2/mem and stores the results in ymm1.
				
F3 0F 53 /r	RCPSS xmm1, xmm2/m32	V	V	Computes the approximate reciprocal of the scalar single-precision floating-point value in xmm2/m32 and stores the result in xmm1.
VEX.NDS.LIG.F3.0F.WIG 53 /r	VRCPSS xmm1, xmm2, xmm3/m32	V	V	Computes the approximate reciprocal of the scalar single-precision floating-point value in xmm3/m32 and stores the result in xmm1. Also, upper single precision floating-point values (bits[127:32]) from xmm2 are copied to xmm1[127:32].
				
F3 0F AE /0	RDFSBASE r32	V	I	Load the 32-bit destination register with the FS base address.
REX.W+ F3 0F AE /0	RDFSBASE r64	V	I	Load the 64-bit destination register with the FS base address.
F3 0F AE /1	RDGSBASE r32	V	I	Load the 32-bit destination register with the GS base address.
REX.W+ F3 0F AE /1	RDGSBASE r64	V	I	Load the 64-bit destination register with the GS base address.
				
0F 32	RDMSR	V	V	Read MSR specified by ECX into EDX:EAX.
				
0F 33	RDPMC	V	V	Read performance-monitoring counter specified by ECX into EDX:EAX.
				
0F C7 /6	RDRAND r16	V	V	Read a 16-bit random number and store in the destination register.
0F C7 /6	RDRAND r32	V	V	Read a 32-bit random number and store in the destination register.
REX.W+ 0F C7 /6	RDRAND r64	V	I	Read a 64-bit random number and store in the destination register.
				
0F 31	RDTSC	V	V	Read time-stamp counter into EDX:EAX.
				
0F 01 F9	RDTSCP	V	V	Read 64-bit time-stamp counter and 32-bit IA32_TSC_AUX value into EDX:EAX and ECX.
				
F3 6C	REP_INS m8, DX 	V	V	Input (E)CX bytes from port DX into ES:[(E)DI].
F3 REX.w+ 6C	REP_INS m8, DX	V	NE	Input RCX bytes from port DX into [RDI].
F3 6D	REP_INS m16, DX	V	V	Input (E)CX words from port DX into ES:[(E)DI.]
F3 6D	REP_INS m32, DX	V	V	Input (E)CX doublewords from port DX into ES:[(E)DI].
F3 REX.w+ 6D	REP_INS m32, DX	V	NE	Input RCX default size from port DX into [RDI].
F3 A4	REP_MOVS m8, m8	V	V	Move (E)CX bytes from DS:[(E)SI] to ES:[(E)DI].
F3 REX.w+ A4	REP_MOVS m8, m8	V	NE	Move RCX bytes from [RSI] to [RDI].
F3 A5	REP_MOVS m16, m16	V	V	Move (E)CX words from DS:[(E)SI] to ES:[(E)DI].
F3 A5	REP_MOVS m32, m32	V	V	Move (E)CX doublewords from DS:[(E)SI] to ES:[(E)DI].
F3 REX.w+ A5	REP_MOVS m64, m64	V	NE	Move RCX quadwords from [RSI] to [RDI].
F3 6E	REP_OUTS DX, m8	V	V	Output (E)CX bytes from DS:[(E)SI] to port DX.
F3 REX.w+ 6E	REP_OUTS DX, m8	V	NE	Output RCX bytes from [RSI] to port DX.
F3 6F	REP_OUTS DX, m16	V	V	Output (E)CX words from DS:[(E)SI] to port DX.
F3 6F	REP_OUTS DX, m32	V	V	Output (E)CX doublewords from DS:[(E)SI] to port DX.
F3 REX.w+ 6F	REP_OUTS DX, m32	V	NE	Output RCX default size from [RSI] to port DX.
F3 AC	REP_LODS AL	V	V	Load (E)CX bytes from DS:[(E)SI] to AL.
F3 REX.w+ AC	REP_LODS AL	V	NE	Load RCX bytes from [RSI] to AL.
F3 AD	REP_LODS AX	V	V	Load (E)CX words from DS:[(E)SI] to AX.
F3 AD	REP_LODS EAX	V	V	Load (E)CX doublewords from DS:[(E)SI] to EAX.
F3 REX.w+ AD	REP_LODS RAX	V	NE	Load RCX quadwords from [RSI] to RAX.
F3 AA	REP_STOS m8	V	V	Fill (E)CX bytes at ES:[(E)DI] with AL.
F3 REX.w+ AA	REP_STOS m8	V	NE	Fill RCX bytes at [RDI] with AL.
F3 AB	REP_STOS m16	V	V	Fill (E)CX words at ES:[(E)DI] with AX.
F3 AB	REP_STOS m32	V	V	Fill (E)CX doublewords at ES:[(E)DI] with EAX.
F3 REX.w+ AB	REP_STOS m64	V	NE	Fill RCX quadwords at [RDI] with RAX.
F3 A6	REPE_CMPS m8, m8	V	V	Find nonmatching bytes in ES:[(E)DI] and DS:[(E)SI].
F3 REX.w+ A6	REPE_CMPS m8, m8	V	NE	Find non-matching bytes in [RDI] and [RSI].
F3 A7	REPE_CMPS m16, m16	V	V	Find nonmatching words in ES:[(E)DI] and DS:[(E)SI].
F3 A7	REPE_CMPS m32, m32	V	V	Find nonmatching doublewords in ES:[(E)DI] and DS:[(E)SI].
F3 REX.w+ A7	REPE_CMPS m64, m64	V	NE	Find non-matching quadwords in [RDI] and [RSI].
F3 AE	REPE_SCAS m8	V	V	Find non-AL byte starting at ES:[(E)DI].
F3 REX.w+ AE	REPE_SCAS m8	V	NE	Find non-AL byte starting at [RDI].
F3 AF	REPE_SCAS m16	V	V	Find non-AX word starting at ES:[(E)DI].
F3 AF	REPE_SCAS m32	V	V	Find non-EAX doubleword starting at ES:[(E)DI].
F3 REX.w+ AF	REPE_SCAS m64	V	NE	Find non-RAX quadword starting at [RDI].
F2 A6	REPNE_CMPS m8, m8	V	V	Find matching bytes in ES:[(E)DI] and DS:[(E)SI].
F2 REX.w+ A6	REPNE_CMPS m8, m8	V	NE	Find matching bytes in [RDI] and [RSI].
F2 A7	REPNE_CMPS m16, m16	V	V	Find matching words in ES:[(E)DI] and DS:[(E)SI].
F2 A7	REPNE_CMPS m32, m32	V	V	Find matching doublewords in ES:[(E)DI] and DS:[(E)SI].
F2 REX.w+ A7	REPNE_CMPS m64, m64	V	NE	Find matching doublewords in [RDI] and [RSI].
F2 AE	REPNE_SCAS m8	V	V	Find AL, starting at ES:[(E)DI].
F2 REX.w+ AE	REPNE_SCAS m8	V	NE	Find AL, starting at [RDI].
F2 AF	REPNE_SCAS m16	V	V	Find AX, starting at ES:[(E)DI].
F2 AF	REPNE_SCAS m32	V	V	Find EAX, starting at ES:[(E)DI].
F2 REX.w+ AF	REPNE_SCAS m64	V	NE	Find RAX, starting at [RDI].
				
C3	RET	V	V	Near return to calling procedure.
CB	RET far	V	V	Far return to calling procedure.
C2 iw	RET imm16	V	V	Near return to calling procedure and pop imm16 bytes from stack.
CA iw	RET imm16, far	V	V	Far return to calling procedure and pop imm16 bytes from stack.
				
66 0F 3A 09 /r ib	ROUNDPD xmm1, xmm2/m128, imm8	V	V	Round packed double precision floating-point values in xmm2/m128 and place the result in xmm1. The rounding mode is determined by imm8.
VEX.128.66.0F3A.WIG 09 /r ib	VROUNDPD xmm1, xmm2/m128, imm8	V	V	Round packed double-precision floating-point values in xmm2/m128 and place the result in xmm1. The rounding mode is determined by imm8.
VEX.256.66.0F3A.WIG 09 /r ib	VROUNDPD ymm1, ymm2/m256, imm8	V	V	Round packed double-precision floating-point values in ymm2/m256 and place the result in ymm1. The rounding mode is determined by imm8.
				
66 0F 3A 08 /r ib	ROUNDPS xmm1, xmm2/m128, imm8	V	V	Round packed single precision floating-point values in xmm2/m128 and place the result in xmm1. The rounding mode is determined by imm8.
VEX.128.66.0F3A.WIG 08 /r ib	VROUNDPS xmm1, xmm2/m128, imm8	V	V	Round packed single-precision floating-point values in xmm2/m128 and place the result in xmm1. The rounding mode is determined by imm8.
VEX.256.66.0F3A.WIG 08 /r ib	VROUNDPS ymm1, ymm2/m256, imm8	V	V	Round packed single-precision floating-point values in ymm2/m256 and place the result in ymm1. The rounding mode is determined by imm8.
				
66 0F 3A 0B /r ib	ROUNDSD xmm1, xmm2/m64, imm8	V	V	Round the low packed double precision floating-point value in xmm2/m64 and place the result in xmm1. The rounding mode is determined by imm8.
VEX.NDS.LIG.66.0F3A.WIG 0B /r ib	VROUNDSD xmm1, xmm2, xmm3/m64, imm8	V	V	Round the low packed double precision floating-point value in xmm3/m64 and place the result in xmm1. The rounding mode is determined by imm8. Upper packed double precision floating-point value (bits[127:64]) from xmm2 is copied to xmm1[127:64].
				
66 0F 3A 0A /r ib	ROUNDSS xmm1, xmm2/m32, imm8	V	V	Round the low packed single precision floating-point value in xmm2/m32 and place the result in xmm1. The rounding mode is determined by imm8.
VEX.NDS.LIG.66.0F3A.WIG 0A ib	VROUNDSS xmm1, xmm2, xmm3/m32, imm8	V	V	Round the low packed single precision floating-point value in xmm3/m32 and place the result in xmm1. The rounding mode is determined by imm8. Also, upper packed single precision floating-point values (bits[127:32]) from xmm2 are copied to xmm1[127:32].
				
0F AA	RSM	I	V	Resume operation of interrupted program.
				
0F 52 /r	RSQRTPS xmm1, xmm2/m128	V	V	Computes the approximate reciprocals of the square roots of the packed single-precision floating-point values in xmm2/m128 and stores the results in xmm1.
VEX.128.0F.WIG 52 /r	VRSQRTPS xmm1, xmm2/m128	V	V	Computes the approximate reciprocals of the square roots of packed single-precision values in xmm2/mem and stores the results in xmm1.
VEX.256.0F.WIG 52 /r	VRSQRTPS ymm1, ymm2/m256	V	V	Computes the approximate reciprocals of the square roots of packed single-precision values in ymm2/mem and stores the results in ymm1.
				
F3 0F 52 /r	RSQRTSS xmm1, xmm2/m32	V	V	Computes the approximate reciprocal of the square root of the low single-precision floating-point value in xmm2/m32 and stores the results in xmm1.
VEX.NDS.LIG.F3.0F.WIG 52 /r	VRSQRTSS xmm1, xmm2, xmm3/m32	V	V	Computes the approximate reciprocal of the square root of the low single precision floating-point value in xmm3/m32 and stores the results in xmm1. Also, upper single precision floating-point values (bits[127:32]) from xmm2 are copied to xmm1[127:32].
				
9E	SAHF	V	V	Loads SF, ZF, AF, PF, and CF from AH into EFLAGS register.
				
D0 /4	SAL r/m8, 1	V	V	Multiply r/m8 by 2, once.
REX+ D0 /4	SAL r/m8, 1	V	NE	Multiply r/m8 by 2, once.
D2 /4	SAL r/m8, CL	V	V	Multiply r/m8 by 2, CL times.
REX+ D2 /4	SAL r/m8, CL	V	NE	Multiply r/m8 by 2, CL times.
C0 /4 ib	SAL r/m8, imm8	V	V	Multiply r/m8 by 2, imm8 times.
REX+ C0 /4 ib	SAL r/m8, imm8	V	NE	Multiply r/m8 by 2, imm8 times.
D1 /4	SAL r/m16, 1	V	V	Multiply r/m16 by 2, once.
D3 /4	SAL r/m16, CL	V	V	Multiply r/m16 by 2, CL times.
C1 /4 ib	SAL r/m16, imm8	V	V	Multiply r/m16 by 2, imm8 times.
D1 /4	SAL r/m32, 1	V	V	Multiply r/m32 by 2, once.
REX.W+ D1 /4	SAL r/m64, 1	V	NE	Multiply r/m64 by 2, once.
D3 /4	SAL r/m32, CL	V	V	Multiply r/m32 by 2, CL times.
REX.W+ D3 /4	SAL r/m64, CL	V	NE	Multiply r/m64 by 2, CL times.
C1 /4 ib	SAL r/m32, imm8	V	V	Multiply r/m32 by 2, imm8 times.
REX.W+ C1 /4 ib	SAL r/m64, imm8	V	NE	Multiply r/m64 by 2, imm8 times.
D0 /7	SAR r/m8, 1	V	V	Signed divide r/m8 by 2, once.
REX+ D0 /7	SAR r/m8, 1	V	NE	Signed divide r/m8 by 2, once.
D2 /7	SAR r/m8, CL	V	V	Signed divide r/m8 by 2, CL times.
REX+ D2 /7	SAR r/m8, CL	V	NE	Signed divide r/m8 by 2, CL times.
C0 /7 ib	SAR r/m8, imm8	V	V	Signed divide r/m8 by 2, imm8 time.
REX+ C0 /7 ib	SAR r/m8, imm8	V	NE	Signed divide r/m8 by 2, imm8 time.
D1 /7	SAR r/m16,1	V	V	Signed divide r/m16 by 2, once.
D3 /7	SAR r/m16, CL	V	V	Signed divide r/m16 by 2, CL times.
C1 /7 ib	SAR r/m16, imm8	V	V	Signed divide r/m16 by 2, imm8 times.
D1 /7	SAR r/m32, 1	V	V	Signed divide r/m32 by 2, once.
REX.W+ D1 /7	SAR r/m64, 1	V	NE	Signed divide r/m32 by 2, once.
D3 /7	SAR r/m32, CL	V	V	Signed divide r/m32 by 2, CL times.
REX.W+ D3 /7	SAR r/m64, CL	V	NE	Signed divide r/m32 by 2, CL times.
C1 /7 ib	SAR r/m32, imm8	V	V	Signed divide r/m32 by 2, imm8 times.
REX.W+ C1 /7 ib	SAR r/m64, imm8	V	NE	Signed divide r/m32 by 2, imm8 times.
D0 /4	SHL r/m8, 1	V	V	Multiply r/m8 by 2, once.
REX+ D0 /4	SHL r/m8, 1	V	NE	Multiply r/m8 by 2, once.
D2 /4	SHL r/m8, CL	V	V	Multiply r/m8 by 2, CL times.
REX+ D2 /4	SHL r/m8, CL	V	NE	Multiply r/m8 by 2, CL times.
C0 /4 ib	SHL r/m8, imm8	V	V	Multiply r/m8 by 2, imm8 times.
REX+ C0 /4 ib	SHL r/m8, imm8	V	NE	Multiply r/m8 by 2, imm8 times.
D1 /4	SHL r/m16,1	V	V	Multiply r/m16 by 2, once.
D3 /4	SHL r/m16, CL	V	V	Multiply r/m16 by 2, CL times.
C1 /4 ib	SHL r/m16, imm8	V	V	Multiply r/m16 by 2, imm8 times.
D1 /4	SHL r/m32,1	V	V	Multiply r/m32 by 2, once.
REX.W+ D1 /4	SHL r/m64,1	V	NE	Multiply r/m64 by 2, once.
D3 /4	SHL r/m32, CL	V	V	Multiply r/m32 by 2, CL times.
REX.W+ D3 /4	SHL r/m64, CL	V	NE	Multiply r/m32 by 2, CL times.
C1 /4 ib	SHL r/m32, imm8	V	V	Multiply r/m32 by 2, imm8 times.
REX.W+ C1 /4 ib	SHL r/m64, imm8	V	NE	Multiply r/m32 by 2, imm8 times.
D0 /5	SHR r/m8,1	V	V	Unsigned divide r/m8 by 2, once.
REX+ D0 /5	SHR r/m8, 1	V	NE	Unsigned divide r/m8 by 2, once.
D2 /5	SHR r/m8, CL	V	V	Unsigned divide r/m8 by 2, CL times.
REX+ D2 /5	SHR r/m8, CL	V	NE	Unsigned divide r/m8 by 2, CL times.
C0 /5 ib	SHR r/m8, imm8	V	V	Unsigned divide r/m8 by 2, imm8 times.
REX+ C0 /5 ib	SHR r/m8, imm8	V	NE	Unsigned divide r/m8 by 2, imm8 times.
D1 /5	SHR r/m16, 1	V	V	Unsigned divide r/m16 by 2, once.
D3 /5	SHR r/m16, CL	V	V	Unsigned divide r/m16 by 2, CL times
C1 /5 ib	SHR r/m16, imm8	V	V	Unsigned divide r/m16 by 2, imm8 times.
D1 /5	SHR r/m32, 1	V	V	Unsigned divide r/m32 by 2, once.
REX.W+ D1 /5	SHR r/m64, 1	V	NE	Unsigned divide r/m32 by 2, once.
D3 /5	SHR r/m32, CL	V	V	Unsigned divide r/m32 by 2, CL times.
REX.W+ D3 /5	SHR r/m64, CL	V	NE	Unsigned divide r/m32 by 2, CL times.
C1 /5 ib	SHR r/m32, imm8	V	V	Unsigned divide r/m32 by 2, imm8 times.
REX.W+ C1 /5 ib	SHR r/m64, imm8	V	NE	Unsigned divide r/m32 by 2, imm8 times.
				
1C ib	SBB AL, imm8	V	V	Subtract with borrow imm8 from AL.
1D iw	SBB AX, imm16	V	V	Subtract with borrow imm16 from AX.
1D id	SBB EAX, imm32	V	V	Subtract with borrow imm32 from EAX.
REX.W+ 1D id	SBB RAX, imm32	V	NE	Subtract with borrow sign-extended imm.32 to 64-bits from RAX.
80 /3 ib	SBB r/m8, imm8	V	V	Subtract with borrow imm8 from r/m8.
REX+ 80 /3 ib	SBB r/m8, imm8	V	NE	Subtract with borrow imm8 from r/m8.
81 /3 iw	SBB r/m16, imm16	V	V	Subtract with borrow imm16 from r/m16.
81 /3 id	SBB r/m32, imm32	V	V	Subtract with borrow imm32 from r/m32.
REX.W+ 81 /3 id	SBB r/m64, imm32	V	NE	Subtract with borrow sign-extended imm32 to 64-bits from r/m64.
83 /3 ib	SBB r/m16, imm8	V	V	Subtract with borrow sign-extended imm8 from r/m16.
83 /3 ib	SBB r/m32, imm8	V	V	Subtract with borrow sign-extended imm8 from r/m32.
REX.W+ 83 /3 ib	SBB r/m64, imm8	V	NE	Subtract with borrow sign-extended imm8 from r/m64.
18 /r	SBB r/m8, r8	V	V	Subtract with borrow r8 from r/m8.
REX+ 18 /r	SBB r/m8, r8	V	NE	Subtract with borrow r8 from r/m8.
19 /r	SBB r/m16, r16	V	V	Subtract with borrow r16 from r/m16.
19 /r	SBB r/m32, r32	V	V	Subtract with borrow r32 from r/m32.
REX.W+ 19 /r	SBB r/m64, r64	V	NE	Subtract with borrow r64 from r/m64.
1A /r	SBB r8, r/m8	V	V	Subtract with borrow r/m8 from r8.
REX+ 1A /r	SBB r8, r/m8	V	NE	Subtract with borrow r/m8 from r8.
1B /r	SBB r16, r/m16	V	V	Subtract with borrow r/m16 from r16.
1B /r	SBB r32, r/m32	V	V	Subtract with borrow r/m32 from r32.
REX.W+ 1B /r	SBB r64, r/m64	V	NE	Subtract with borrow r/m64 from r64.
				
AE	SCAS m8	V	V	Compare AL with byte at ES:(E)DI or RDI, then set status flags.
AF	SCAS m16	V	V	Compare AX with word at ES:(E)DI or RDI, then set status flags.
AF	SCAS m32	V	V	Compare EAX with doubleword at ES(E)DI or RDI then set status flags.
REX.W+ AF	SCAS m64	V	NE	Compare RAX with quadword at RDI or EDI then set status flags.
AE	SCASB	V	V	Compare AL with byte at ES:(E)DI or RDI then set status flags.
PREF.66+ AF	SCASW	V	V	Compare AX with word at ES:(E)DI or RDI then set status flags.
AF	SCASD	V	V	Compare EAX with doubleword at ES:(E)DI or RDI then set status flags.
REX.W+ AF	SCASQ	V	NE	Compare RAX with quadword at RDI or EDI then set status flags.
				
0F 97	SETA r/m8	V	V	Set byte if above (CF=0 and ZF=0).
REX+ 0F 97	SETA r/m8	V	NE	Set byte if above (CF=0 and ZF=0).
0F 93	SETAE r/m8	V	V	Set byte if above or equal (CF=0).
REX+ 0F 93	SETAE r/m8	V	NE	Set byte if above or equal (CF=0).
0F 92	SETB r/m8	V	V	Set byte if below (CF=1).
REX+ 0F 92	SETB r/m8	V	NE	Set byte if below (CF=1).
0F 96	SETBE r/m8	V	V	Set byte if below or equal (CF=1 or ZF=1).
REX+ 0F 96	SETBE r/m8	V	NE	Set byte if below or equal (CF=1 or ZF=1).
0F 92	SETC r/m8	V	V	Set byte if carry (CF=1).
REX+ 0F 92	SETC r/m8	V	NE	Set byte if carry (CF=1).
0F 94	SETE r/m8	V	V	Set byte if equal (ZF=1).
REX+ 0F 94	SETE r/m8	V	NE	Set byte if equal (ZF=1).
0F 9F	SETG r/m8	V	V	Set byte if greater (ZF=0 and SF=OF).
REX+ 0F 9F	SETG r/m8	V	NE	Set byte if greater (ZF=0 and SF=OF).
0F 9D	SETGE r/m8	V	V	Set byte if greater or equal (SF=OF).
REX+ 0F 9D	SETGE r/m8	V	NE	Set byte if greater or equal (SF=OF).
0F 9C	SETL r/m8	V	V	Set byte if less (SF!= OF).
REX+ 0F 9C	SETL r/m8	V	NE	Set byte if less (SF!= OF).
0F 9E	SETLE r/m8	V	V	Set byte if less or equal (ZF=1 or SF!= OF).
REX+ 0F 9E	SETLE r/m8	V	NE	Set byte if less or equal (ZF=1 or SF!= OF).
